Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
813	0.292743	187	0.850267	0.090374	813	0.292743	0.397000	0.383383	
802	0.208229	198	0.863636	0.090374	802	0.208229	0.338000	0.383229	
814	0.310811	186	0.833333	0.090374	814	0.310811	0.408000	0.383313	
821	0.302071	179	0.860335	0.090374	821	0.302071	0.402000	0.383376	
812	0.389163	188	0.893617	0.090374	812	0.389163	0.484000	0.383713	
825	0.339394	175	0.880000	0.090374	825	0.339394	0.434000	0.383882	
819	0.280830	181	0.861878	0.090374	819	0.280830	0.386000	0.383889	
820	0.317073	180	0.850000	0.090374	820	0.317073	0.413000	0.383985	
820	0.309756	180	0.888889	0.090374	820	0.309756	0.414000	0.384085	
818	0.298289	182	0.851648	0.090374	818	0.298289	0.399000	0.384134	
838	0.396181	162	0.876543	0.090374	838	0.396181	0.474000	0.384430	
854	0.319672	146	0.856164	0.090374	854	0.319672	0.398000	0.384474	
833	0.393758	167	0.940120	0.090374	833	0.393758	0.485000	0.384803	
806	0.405707	194	0.840206	0.090374	806	0.405707	0.490000	0.385145	
845	0.137278	155	0.916129	0.165497	845	0.137278	0.258000	0.384733	
826	0.158596	174	0.821839	0.134858	826	0.158596	0.274000	0.384374	
784	0.188776	216	0.907407	0.119692	784	0.188776	0.344000	0.384244	
844	0.241706	156	0.846154	0.106140	844	0.241706	0.336000	0.384089	
828	0.224638	172	0.877907	0.106140	828	0.224638	0.337000	0.383938	
855	0.274854	145	0.862069	0.106140	855	0.274854	0.360000	0.383861	
804	0.221393	196	0.877551	0.106140	804	0.221393	0.350000	0.383754	
830	0.314458	170	0.852941	0.106140	830	0.314458	0.406000	0.383824	
815	0.238037	185	0.881081	0.106140	815	0.238037	0.357000	0.383739	
838	0.279236	162	0.796296	0.106140	838	0.279236	0.363000	0.383674	
805	0.356522	195	0.851282	0.106140	805	0.356522	0.453000	0.383892	
844	0.295024	156	0.878205	0.106140	844	0.295024	0.386000	0.383898	
816	0.281863	184	0.907609	0.106140	816	0.281863	0.397000	0.383939	
850	0.269412	150	0.860000	0.106140	850	0.269412	0.358000	0.383859	
819	0.221001	181	0.856354	0.106140	819	0.221001	0.336000	0.383710	
839	0.209774	161	0.863354	0.106140	839	0.209774	0.315000	0.383497	
815	0.309202	185	0.897297	0.106140	815	0.309202	0.418000	0.383604	
807	0.235440	193	0.865285	0.106140	807	0.235440	0.357000	0.383522	
818	0.347188	182	0.917582	0.106140	818	0.347188	0.451000	0.383729	
817	0.317013	183	0.857923	0.106140	817	0.317013	0.416000	0.383828	
859	0.307334	141	0.879433	0.106140	859	0.307334	0.388000	0.383840	
857	0.270712	143	0.818182	0.106140	857	0.270712	0.349000	0.383734	
822	0.220195	178	0.887640	0.106140	822	0.220195	0.339000	0.383599	
830	0.215663	170	0.794118	0.106140	830	0.215663	0.314000	0.383389	
849	0.329800	151	0.841060	0.106140	849	0.329800	0.407000	0.383460	
810	0.325926	190	0.794737	0.106140	810	0.325926	0.415000	0.383554	
826	0.211864	174	0.844828	0.106140	826	0.211864	0.322000	0.383370	
837	0.270012	163	0.889571	0.106140	837	0.270012	0.371000	0.383333	
842	0.270784	158	0.860759	0.106140	842	0.270784	0.364000	0.383276	
839	0.269368	161	0.819876	0.106140	839	0.269368	0.358000	0.383201	
849	0.274441	151	0.821192	0.106140	849	0.274441	0.357000	0.383123	
851	0.307873	149	0.852349	0.106140	851	0.307873	0.389000	0.383140	
863	0.324450	137	0.861314	0.106140	863	0.324450	0.398000	0.383184	
823	0.268530	177	0.920904	0.106140	823	0.268530	0.384000	0.383187	
826	0.325666	174	0.839080	0.106140	826	0.325666	0.415000	0.383280	
864	0.380787	136	0.801471	0.106140	864	0.380787	0.438000	0.383439	
863	0.253766	137	0.941606	0.106140	863	0.253766	0.348000	0.383336	
843	0.311981	157	0.866242	0.106140	843	0.311981	0.399000	0.383381	
844	0.319905	156	0.865385	0.106140	844	0.319905	0.405000	0.383444	
857	0.327888	143	0.804196	0.106140	857	0.327888	0.396000	0.383480	
839	0.297974	161	0.819876	0.106140	839	0.297974	0.382000	0.383476	
814	0.273956	186	0.876344	0.106140	814	0.273956	0.386000	0.383483	
836	0.303828	164	0.853659	0.106140	836	0.303828	0.394000	0.383513	
838	0.263723	162	0.901235	0.106140	838	0.263723	0.367000	0.383466	
831	0.246691	169	0.810651	0.106140	831	0.246691	0.342000	0.383348	
808	0.285891	192	0.869792	0.106140	808	0.285891	0.398000	0.383390	
852	0.285211	148	0.804054	0.106140	852	0.285211	0.362000	0.383329	
832	0.287260	168	0.892857	0.106140	832	0.287260	0.389000	0.383345	
836	0.257177	164	0.945122	0.106140	836	0.257177	0.370000	0.383308	
829	0.283474	171	0.871345	0.106140	829	0.283474	0.384000	0.383310	
836	0.301435	164	0.890244	0.106140	836	0.301435	0.398000	0.383351	
